AppNexus ID;Lotame ID;Audience Name
1463724;16502;Offline Product Purchasers - Baking Supplies
1463725;16654;Offline Product Purchasers - Batteries And Flashlights
1464093;16404;Offline Product Purchasers - Beverages
1466824;16426;Offline Product Purchasers - Books / Magazines
1466825;16411;Offline Product Purchasers - Bread / Bakery
1466833;16414;Offline Product Purchasers - Breakfast / Cereal
1466834;16644;Offline Product Purchasers - Breakfast Bars
1466835;16624;Offline Product Purchasers - Breakfast Foods-Frozen
1466836;16541;Offline Product Purchasers - Butter
1466837;16694;Offline Product Purchasers - Candy-Breath Sweeteners
1466838;16470;Offline Product Purchasers - Candy-Chocolate
1466839;16509;Offline Product Purchasers - Candy-Non-Chocolate
1466840;16412;Offline Product Purchasers - Canned Goods / Soups
1466841;16557;Offline Product Purchasers - Cereal-Hot
1466842;16438;Offline Product Purchasers - Cereal-Rte
1466844;16688;Offline Product Purchasers - Charcoal, Logs, Accessories
1466845;16488;Offline Product Purchasers - Cheese-Grated,Shredded
1466847;16484;Offline Product Purchasers - Cheese-Natural
1466848;16476;Offline Product Purchasers - Cheese-Processed
1466849;16536;Offline Product Purchasers - Coffee
1466853;16409;Offline Product Purchasers - Condiments / Spices / Bake
1466850;16493;Offline Product Purchasers - Condiments
1466855;16407;Offline Product Purchasers - Cookies / Snacks / Candy
1466854;16474;Offline Product Purchasers - Cookies
1466856;16623;Offline Product Purchasers - Cookware
1466857;16684;Offline Product Purchasers - Cosmetics
1466859;16486;Offline Product Purchasers - Cot Cheese, Sour Cream, Toppings
1466861;16576;Offline Product Purchasers - Cough And Cold Remedies
1466862;16473;Offline Product Purchasers - Crackers
1466864;16408;Offline Product Purchasers - Dairy / Eggs / Cheese
1466868;16581;Offline Product Purchasers - Deodorant
1466869;16526;Offline Product Purchasers - Desserts, Gelatins, Syrup
1466870;16685;Offline Product Purchasers - Desserts/Fruits/Toppings-Frozen
1466871;16522;Offline Product Purchasers - Detergents
1466872;16749;Offline Product Purchasers - Diet Aids
1466873;16727;Offline Product Purchasers - Disposable Diapers
1466874;16544;Offline Product Purchasers - Dough Products
1466876;16469;Offline Product Purchasers - Eggs
1466877;16741;Offline Product Purchasers - Electronics, Records, Tapes
1466886;16726;Offline Product Purchasers - Eye Care
1466887;16587;Offline Product Purchasers - First Aid
1466888;16428;Offline Product Purchasers - Floral / Gardening
1466890;16575;Offline Product Purchasers - Flour
1466891;16739;Offline Product Purchasers - Foot Care
1466911;16435;Offline Product Purchasers - Fresh Bakery
1466938;16434;Offline Product Purchasers - Fresh Bread
1466939;16690;Offline Product Purchasers - Fresh Meat
1466940;16583;Offline Product Purchasers - Fresh Produce-Fruit
1466941;16562;Offline Product Purchasers - Fresh Produce-Vegetables
1466942;16620;Offline Product Purchasers - Fresheners And Deodorizers
1466943;16415;Offline Product Purchasers - Frozen Foods
1466944;16641;Offline Product Purchasers - Frozen Novelties
1466945;16730;Offline Product Purchasers - Frozen Unprep Meat/Poultry
1466946;16683;Offline Product Purchasers - Frozen Unprep Seafood
1466948;16535;Offline Product Purchasers - Fruit - Canned
1466949;16567;Offline Product Purchasers - Fruit - Dried
1466950;16424;Offline Product Purchasers - Fruits / Vegetables
1466951;16622;Offline Product Purchasers - Glassware, Tableware
1466952;16413;Offline Product Purchasers - Grains / Pasta / Sides
1466953;16565;Offline Product Purchasers - Granola & Yogurt Bars
1466954;16656;Offline Product Purchasers - Grooming Aids
1466957;16742;Offline Product Purchasers - Greeting Cards/Party Needs/Novelties
1466958;16533;Offline Product Purchasers - Gum
1466959;16555;Offline Product Purchasers - Hair Care
1466960;16738;Offline Product Purchasers - Hardware, Tools
1466961;16429;Offline Product Purchasers - Health Food Buyer
1466962;16410;Offline Product Purchasers - Home Supplies
1466963;16747;Offline Product Purchasers - Hosiery, Socks
1466965;16561;Offline Product Purchasers - Household Cleaners
1466966;16566;Offline Product Purchasers - Household Supplies
1466967;16731;Offline Product Purchasers - Housewares, Appliances
1466970;16746;Offline Product Purchasers - Ice
1466971;16584;Offline Product Purchasers - Ice Cream
1466972;16697;Offline Product Purchasers - Insecticds/Pesticds/Rodenticds
1466983;16416;Offline Product Purchasers - International Food
1466984;16521;Offline Product Purchasers - Jams, Jellies, Spreads
1466985;16433;Offline Product Purchasers - Juice, Drinks - Canned, Bottled
1466986;16744;Offline Product Purchasers - Juices, Drinks-Frozen
1466989;16550;Offline Product Purchasers - Kitchen Gadgets
1466990;16551;Offline Product Purchasers - Laundry Supplies
1466991;16689;Offline Product Purchasers - Light Bulbs, Electric Goods
1466995;16539;Offline Product Purchasers - Margarine And Spreads
1466996;16531;Offline Product Purchasers - Mayonnaise
1466997;16425;Offline Product Purchasers - Meat / Seafood
1466999;16524;Offline Product Purchasers - Mexican Dinners,Sauce
1467002;16432;Offline Product Purchasers - Milk
1467003;16545;Offline Product Purchasers - Nuts
1467004;16686;Offline Product Purchasers - Oral Rinse And Antiseptic
1467005;16745;Offline Product Purchasers - Other Oral Hygiene
1467006;16643;Offline Product Purchasers - Packaged Meats-Bacon
1467007;16628;Offline Product Purchasers - Packaged Meats-Franks
1467011;16585;Offline Product Purchasers - Packaged Meats-Lunchmeat
1467012;16638;Offline Product Purchasers - Packaged Meats-Other
1467013;16527;Offline Product Purchasers - Packaged Milk And Modifiers
1467016;16530;Offline Product Purchasers - Paper-Bath Tissue
1467017;16542;Offline Product Purchasers - Paper-Disposable Tableware
1467018;16571;Offline Product Purchasers - Paper-Facial Tissue
1467019;16637;Offline Product Purchasers - Paper-Liners And Filters
